Time,Activity
8:30-9:00 am,Arrival / Greeting / Health Check
9:00-11:30 am,Montessori Work Cycle (Individual Work)
11:30-12:00 pm,Circle Time / Group Activity
12:00-12:45 pm,Lunch Time
12:45-1:00 pm,Transition / Preparation for Nap or Quiet Time
1:00-3:00 pm,Nap Time / Quiet Work / Reading
3:00-3:30 pm,Afternoon Snack
3:30-4:30 pm,Outdoor Play / Gardening
4:30-5:15 pm,Afternoon Enrichment / Art / Music
5:15-5:30 pm,Dismissal
